stock,buy,sell,shares
Bitcoin,19.419,46.1037,20
Etherium,0.7687,38.212,11
Cardano,48.9731,37.0391,38
Monero,33.2059,28.496,99
Dogecoin,12.7114,49.7308,64
Dogecoin,30.2031,34.2065,35
Etherium,25.1444,16.3725,30
Cardano,25.3315,33.0319,71
Etherium,21.5795,9.5601,42
Dogecoin,11.6022,43.0835,54
Bitcoin,48.4371,48.9708,62
Etherium,12.9753,27.4882,31
Etherium,2.8237,20.7921,97
Cardano,22.3607,15.3953,39
Cardano,11.4498,21.5174,21
Monero,14.2161,24.7046,56
Dogecoin,2.8199,3.2418,32
Etherium,49.8353,10.4706,47
Cardano,25.5345,25.004,50
Bitcoin,5.682,15.0591,21
Cardano,5.1869,33.6934,64
Bitcoin,33.4904,35.8568,9
Dogecoin,9.6321,10.8083,24
Monero,42.691,38.4232,10
Etherium,45.1032,17.637,69
Dogecoin,49.1647,7.6037,51
Bitcoin,39.3171,3.7005,39
Cardano,28.1583,2.3594,56
Dogecoin,43.3221,36.6001,88
Monero,37.4999,8.1939,37
Monero,32.0873,44.1523,94
Monero,1.2405,36.5045,79
Cardano,49.6112,33.9367,34
Dogecoin,46.0662,26.2907,4
Bitcoin,25.408,41.4042,1
Etherium,39.2208,23.698,100
Bitcoin,27.2275,49.8694,99
Etherium,1.426,48.2311,95
Dogecoin,4.2504,35.1485,2
Monero,31.1915,27.5387,8
Monero,20.7446,30.6669,13
Etherium,16.3213,38.9721,50
Monero,11.1279,13.2394,93
Cardano,20.5359,12.2302,40
Bitcoin,23.0287,17.0765,27
Dogecoin,18.7339,11.496,28
Bitcoin,36.9067,35.6945,67
Monero,44.1132,27.7809,100
Bitcoin,37.743,1.3389,50
Cardano,35.7391,47.9097,25
Etherium,40.7686,22.0069,81
Etherium,49.1582,10.0128,23
Bitcoin,18.6749,23.6789,49
Etherium,38.3133,10.768,39
Monero,6.4517,11.5638,5
Monero,44.7785,3.9765,92
Bitcoin,26.789,36.8724,59
Cardano,12.1416,3.5257,7
Etherium,25.9258,11.275,3
Monero,46.7201,44.0269,23
Cardano,29.8156,14.707,42
Dogecoin,27.2337,44.7724,47
Monero,30.6605,29.4118,73
Cardano,5.9438,23.6342,98
Cardano,27.655,18.6254,84
Cardano,8.1272,0.3234,84
Dogecoin,24.8339,46.0849,65
Dogecoin,49.0253,1.3856,12
Etherium,46.3051,30.107,96
Cardano,3.031,18.6845,6
Bitcoin,29.2219,23.0458,29
Bitcoin,20.1419,24.2329,10
Etherium,41.395,34.4698,30
Bitcoin,8.7831,6.6919,30
Cardano,15.7232,12.5665,73
Dogecoin,41.3689,15.4771,87
Dogecoin,20.8984,43.6879,2
Dogecoin,16.555,3.1279,29
Etherium,11.6833,48.773,69
Etherium,30.4694,35.49,70
Dogecoin,1.3634,9.0865,39
Etherium,41.9934,26.303,45
Cardano,4.1254,9.6063,68
Bitcoin,25.8211,1.9083,4
Etherium,39.1937,47.6627,63
Dogecoin,3.3961,35.9534,64
Cardano,35.6686,4.88,60
Cardano,19.7719,24.3603,66
Dogecoin,20.6525,33.4155,16
Dogecoin,15.0901,34.141,76
Cardano,14.9995,8.3869,70
Bitcoin,12.3319,37.1528,66
Etherium,3.7032,34.1964,48
Bitcoin,46.7659,13.9719,15
Bitcoin,41.1117,33.5561,81
Dogecoin,13.699,2.8138,24
Cardano,34.7042,36.242,15
Bitcoin,20.0233,28.4425,9
Cardano,48.6197,2.9806,8
Dogecoin,14.7453,34.3373,93
Etherium,29.026,5.736,12
Dogecoin,12.2692,20.1838,50
Monero,12.1767,11.5691,100
Monero,16.7089,14.0265,94
Etherium,15.2072,46.6024,17
Etherium,1.7718,33.4223,49
Etherium,16.7346,39.4552,37
Etherium,28.4236,41.7156,53
Cardano,18.0288,2.2541,43
Bitcoin,8.8285,8.8264,91
Etherium,8.8449,37.3609,47
Bitcoin,5.8688,34.8366,34
Bitcoin,39.3899,5.594,37
Dogecoin,5.7426,11.2399,25
Bitcoin,33.4528,23.6971,75
Cardano,41.8717,6.3563,70
Dogecoin,37.6729,49.4868,55
Cardano,12.5915,3.64,76
Monero,22.4187,33.6128,57
Etherium,36.2479,39.5156,12
Monero,36.7578,48.8937,1
Bitcoin,27.3237,23.2574,61
Etherium,14.4466,23.7172,91
Dogecoin,43.495,43.904,35
Cardano,13.0104,0.9592,87
Cardano,11.0771,33.39,33
Bitcoin,29.1448,38.3327,3
Bitcoin,45.9803,14.9257,77
Monero,21.3397,18.7237,76
Bitcoin,49.6187,28.5079,22
Monero,26.0067,41.0224,40
Etherium,23.4456,17.3237,100
Bitcoin,35.4645,26.8498,48
Etherium,2.9515,21.9721,24
Monero,18.4949,28.7427,24
Monero,27.3883,20.5272,19
Cardano,3.0373,23.6824,20
Monero,7.6034,49.4928,76
Monero,8.8171,33.4944,74
Monero,22.114,24.5934,15
Bitcoin,41.8429,37.3202,65
Dogecoin,0.3511,21.4278,7
Bitcoin,34.9343,22.6033,87
Etherium,16.5597,32.4257,68
Cardano,42.5681,5.9548,83
Dogecoin,4.4493,2.9934,28
Monero,42.5876,37.7504,23
