Company Name,Price
NewMarket Corp Common Stock,944
"Summit Hotel Properties, Inc. 7.125% Series C Cumulative Redeemable Preferred Stock",1102
"Heartland Payment Systems, Inc. Common Stock",104
"Orbitz Worldwide, Inc. Common Stock",865
Vince Holding Corp. Common Stock,489
"Berkshire Hills Bancorp, Inc. Common Stock",1390
"Praxair, Inc. Common Stock",602
Biglari Holdings Inc.,304
"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",761
"OM Group, Inc. Common Stock",1012
"General Steel Holdings, Inc. Common Stock",1258
"Miller Industries, Inc. Common Stock",1873
Procter & Gamble Company (The) Common Stock,718
MGM Resorts International Common Stock,713
CRH PLC American Depositary Shares,615
"Duff & Phelps Utility & Corporate Bond Trust, Inc. Common Stock",727
Royal Dutch Shell PLC Royal Dutch Shell American Depositary Shares (Each representing two Class A Ordinary Shares),1448
"Tumi Holdings, Inc. Common Stock",1296
Southwest Airlines Company Common Stock,1673
"PPG Industries, Inc. Common Stock",1466
Federal Agricultural Mortgage Corporation 5.875% Non,286
"Citizens, Inc. Class A Common Stock ($1.00 Par)",1542
Chemtura Corp. Common Stock,1124
ITC Holdings Corp. Common Stock,1835
"Roper Industries, Inc. Common Stock",1788
Target Corporation Common Stock,1429
"Rackspace Hosting, Inc Common Stock",1763
Avery Dennison Corporation Common Stock,1825
"Boot Barn Holdings, Inc. Common Stock",117
"Dillard's, Inc. Common Stock",1663
U.S. Bancorp Depositary Shares repstg 1/1000th Pfd Ser B,797
Booz Allen Hamilton Holding Corporation Common Stock,731
Bristol,666
Avenue Income Credit Strategies Fund Common Shares,834
USG Corporation Common Stock,1423
Nuveen Missouri Premium Income Municipal Fund MUNIFUND TERM PFD SHS SER 2015 (United States),1457
"Pinnacle Foods, Inc. Common Stock",20
"Affiliated Managers Group, Inc. 6.375% Senior Notes due 2042",828
Centrais Elc Braz Pfb B Elbras American Depositary Shares,776
"Opower, Inc. Common Stock",48
"Greenbrier Companies, Inc. (The) Common Stock",389
"Lehman ABS Corporation 7.75% Corp Backed Tr Ctfs, Kinder Morgan Debenture",41
"United Parcel Service, Inc. Common Stock",1982
"Blackrock MuniYield Quality Fund III, Inc Common Stock",448
Kimco Realty Corporation Depositary Sh Repstg 1/1000th Pfd CL J %,1887
"Nuveen Performance Plus Municipal Fund, Inc. Common Stock",893
"ONEOK Partners, L.P. Common Stock",1225
"CoreLogic, Inc. Common Stock",1787
Global Partners LP Global Partners LP Common Units representing Limited Partner Interests,1790
Gabelli Dividend Pfd Series D,1281
"PS Business Parks, Inc. Common Stock",383
"Hawaiian Electric Industries, Inc. Common Stock",1210
HealthSouth Corporation Common Stock,1900
BlackRock California Municipal Income Trust,136
Royal Dutch Shell PLC Royal Dutch Shell PLC American Depositary Shares (Each representing two Class B Ordinary Shares),1619
Reed Elsevier NV American Depositary Shares,67
"Lorillard, Inc Common Stock",1966
BHP Billiton plc Sponsored ADR,382
Manulife Financial Corporation Common Stock,201
"AmREIT, Inc. Common stock",149
"Select Asset Inc. Corporate Backed Callable Trust Certificates, J.C. Penney Debenture",73
SCANA Corporation Common Stock,257
"Zweig Fund, Inc. (The) Common Stock",539
"Neenah Paper, Inc. Common Stock",1029
Altisource Residential Corporation Common Stock,1099
Pioneer High Income Trust Common Shares of Beneficial Interest,195
"Simpson Manufacturing Company, Inc. Common Stock",83
"Alliance One International, Inc. Common Stock",967
"Voya Financial, Inc. Common Stock",756
"Cohen & Steers Infrastructure Fund, Inc Common Stock",982
Renesola Ltd. Common Shares of Beneficial Interest,1796
Chesapeake Energy Corporation Convertible Preferred,1121
"Nuveen Municipal Income Fund, Inc. Common Stock",945
"Goldman Sachs Group, Inc. (The) Depositary Shares each representing 1/1000th Interest in a Share of Floating Rate Non",1549
Federal Signal Corporation Common Stock,44
Guggenheim Enhanced Equity Income Fund,1040
Performance Sports Group Ltd. Ordinary Shares (Canada),1373
