Company Name,Price
Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),377
General Motors Company Warrant (Expires 07/10/2016),40
Korn/Ferry International Common Stock,212
"Lehman ABS Corporation 7.75% Corp Backed Tr Ctfs, Kinder Morgan Debenture",317
"Webster Financial Corporation Warrant (expiring November 21, 2018)",31
"Taiwan Fund, Inc. (The) Common Stock",267
Sesa Sterlite Limited  American Depositary Shares (Each representing four equity shares),239
Blackrock Defined Opportunity Credit Trust Blackrock Defined Opportunity Credit Trust,32
US Bancorp Del DEPOSITARY SH S G,294
Morgan Stanley Cap Tr IV Gtd Cap Secs,348
Alliancebernstein Income Fund,175
Putnam Premier Income Trust Common Stock,143
Universal Technical Institute Inc Common Stock,262
"Western Refining Inc. Western Refining, Inc. Common Stock",209
Polypore International Inc Common Stock,297
Exxon Mobil Corporation Common Stock,219
"TRC Companies, Inc. Common Stock",132
WGL Holdings IncCommon Stock,111
"FPL Group, Inc. 5 7/8% Preferred Trust Securities",11
CYS Investments Inc Cumulative Redeemable Preferred Series A,315
Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),24
Pioneer Natural Resources Company Common Stock,271
Countrywide Capital V (New) 7.00% Capital Securities,274
"Retail Properties of America, Inc. Pfd Ser A %",188
Cohen & Steers Reit and Preferred Income Fund Inc Common Shares,44
Telefonica SA Common Stock,206
"Western Refining Logistics, LP Common Units representing limited partner interests",366
"Swiss Helvetia Fund, Inc. (The) Common Stock",394
Western Asset High Income Fund II Inc. Common Stock,180
"Turkish Investment Fund, Inc. (The) Common Stock",351
Mechel Steel Group OAO American Depositary Shares (each representing one,367
"ClubCorp Holdings, Inc. Common Stock",144
Vornado Realty Trust Preferred Series G,4
PIMCO Dynamic Income Fund Common Stock,335
Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non,76
Braskem SA ADR,99
Tribune Media Company Class A Common Stock,292
"Kayne Anderson Midstream Energy Fund, Inc Common Stock",302
Franco,385
"Blackrock MuniHoldings Fund II, Inc. Common Stock",200
Frank's International N.V. Common Stock,92
"Transcontinental Realty Investors, Inc. Common Stock",353
Cameron International Corporation Common Stock,319
Rogers Corporation Common Stock,269
"Triumph Group, Inc. Common Stock",136
Restaurant Brands International Inc. Common Shares,334
"Canon, Inc. American Depositary Shares",102
ABM Industries Incorporated Common Stock,398
"Barracuda Networks, Inc. Common Stock",199
Delphi Automotive plc Ordinary Shares,247
"LG Display Co, Ltd AMERICAN DEPOSITORY SHARES",125
Zions Bancorporation Dep Shs Repstg 1/40th Int Sh Ser H Perp Pfd Stk,120
A.O. Smith Corporation Common Stock,130
Reynolds American Inc Common Stock,196
La,354
Mead Johnson Nutrition Company Common Stock,383
Nustar Energy L.P.  Common Units,352
Lyon William Homes Common Stock (Class A),231
"On Assignment, Inc. Common Stock",160
"Health Care REIT, Inc. Common Stock",246
"Lowe's Companies, Inc. Common Stock",311
Nuveen AMT,156
"Watsco, Inc. Common Stock",106
Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg,58
Alere Inc. Common Stock,322
Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,5
"Global Brass and Copper Holdings, Inc. Common Stock",215
Potash Corporation of Saskatchewan Inc. Common Stock,158
SM Energy Company Common Stock,256
FelCor Lodging Trust Incorporated Preferred Stock,281
Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,145
Nuveen Real Asset Income and Growth Fund Common Shares of Beneficial Interest,305
Scorpio Bulkers Inc. 7.50% Senior Notes due 2019,3
Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),238
Nuveen S&P 500 Dynamic Overwrite Fund,60
Regency Centers Corporation Common Stock,331
PP&L Corporation Common Stock,392
"Cullen/Frost Bankers, Inc. Perpetual Preferred Series A",6
"Burlington Stores, Inc. Common Stock",26
Legg Mason BW Global Income Opportunities Fund Inc. Common Stock,183
"Broadridge Financial Solutions, Inc.Common Stock",374
Lear Corporation Common Stock,88
Toll Brothers Inc. Common Stock,191
"Excel Trust, Inc. Common Stock",237
"Grana y Montero S.A.A. American Depositary Shares, each representing five Common Shares",221
DCT Industrial Trust Inc Common Stock,243
"Dice Holdings, Inc. Common Stock",170
Schweitzer,307
Fomento Economico Mexicano S.A.B. de C.V. Common Stock,168
Cenveo Inc,155
Portland General Electric Co Common Stock,21
Resource Capital Corp. Resource Capital Corp. Common Stock,25
Telus Corporation Ordinary Shares,128
"Etablissements Delhaize Freres et Cie ""Le Lion"" S.A. Common Stock",308
Teradata Corporation Common Stock,165
WuXi PharmaTech (Cayman) Inc. American Depositary Shares,7
"Home Depot, Inc. (The) Common Stock",318
"Silver Spring Networks, Inc. Common Stock",391
"Hanger, Inc. Common Stock ($0.01 Par Value)",273
Granite Construction Incorporated Common Stock,41
"Nustar GP Holdings, LLC Units",52
Templeton Emerging Markets Fund Common Stock,178
"LSB Industries, Inc. Common Stock",236
"Telephone and Data Systems, Inc. 7% Senior Notes due 2060",229
"Affiliated Managers Group, Inc. 6.375% Senior Notes due 2042",356
"Everest Re Group, Ltd. Common Stock",149
"Home Properties, Inc. Common Stock",105
"South Jersey Industries, Inc. Common Stock",250
Spectra Energy Corp Common Stock,87
Silver Bay Realty Trust Corp. Common Stock,96
FelCor Lodging Trust Incorporated Dep Shares Representing 1/100 Preferred Series C,248
First Commonwealth Financial Corporation Common Stock,289
"Envision Healthcare Holdings, Inc. Common Stock",370
Pampa Energia S.A. Pampa Energia S.A.,266
Piper Jaffray Companies Common Stock,177
"Comerica Incorporated Warrant expiring November 14, 2018",101
"MagnaChip Semiconductor Corporation Depositary Shares, each representing one share of common stock",388
"Mueller Industries, Inc. Common Stock",147
"New York Community Bancorp, Inc. Common Stock",48
Regions Financial Corporation Common Stock,118
"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock",141
"GulfMark Offshore, Inc. New Common Stock",159
Goldman Sachs Group Inc Depositary Shs Repstg 1/1000th Pfd Ser J Fixed to Fltg Rate,387
First Horizon National Corporation Depositary Shares,296
"Imprivata, Inc. Common Stock",53
Sony Corporation Common Stock,114
First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,372
"Shell Midstream Partners, L.P. Common Units representing Limited Partner Interests",65
Cameco Corporation Common Stock,70
"Installed Building Products, Inc. Common Stock",393
Pitney Bowes Inc. Common Stock,20
Urstadt Biddle Properties Inc. Pfd Ser F,195
"SouFun Holdings Limited American Depositary Shares (Each representing Four Class A Ordinary Shares, HK$1.00 par value)",368
"Wesco Aircraft Holdings, Inc. Common Stock",242
UBS AG Common Stock,326
Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),100
"Nike, Inc. Common Stock",222
Kirby Corporation Common Stock,103
Franklin Covey Company Common Stock,37
Capital One Financial Corp Depository Shares Representing 1/40th Int Perp Pfd Ser C%,127
Flaherty & Crumrine Preferred Income Fund Incorporated Common Stock,49
GasLog Partners LP Common Units representing limited partnership interests,124
"MS Structured Asset Corp MS Structured Asset Corp. SATURNS J.C. Penney Company, Inc. Debenture Backed Series 2007",112
BlackRock Science and Technology Trust Common Shares of Beneficial Interest,300
Sunoco LP Common Units representing limited partner interests,355
Weyerhaeuser Company Common Stock,85
Globant S.A. Common Shares,284
Associated Banc,227
Modine Manufacturing Company Common Stock,216
"Vishay Intertechnology, Inc. Common Stock",198
Howard Hughes Corporation (The) Common Stock,107
"Luxoft Holding, Inc. Class A Ordinary Shares",298
"Validus Holdings, Ltd. Common Shares",108
Ares Capital Corporation 5.875% Senior Notes due 2022,232
"Gamco Investors, Inc. Common Stock",225
"Motorola Solutions, Inc. Common Stock",349
Triangle Capital Corporation 6.375% Senior Notes due 2022,138
Ryerson Holding Corporation Common Stock,276
Bank of New York Mellon Corporation (The) Common Stock,182
"Alamo Group, Inc. Common Stock",365
Zions Bancorporation Dep Shs Repstg 1/40th Perp Pfd Ser G,129
Honeywell International Inc. Common Stock,176
Paragon Offshore plc Ordinary Shares,67
"AutoNation, Inc. Common Stock",45
LMP Capital and Income Fund Inc. Common Stock,384
Blackrock Limited Duration Income Trust,98
Luxfer Holdings PLC American Depositary Shares (each representing one,363
Progressive Waste Solutions Ltd. Common Shares,275
Wells Fargo & Company New Depository Share Representing 1/1000th Perp. Preferred Class A Series T,139
Nucor Corporation Common Stock,264
"On Deck Capital, Inc. Common Stock",328
